 20-03-18,12:38:54,Ch2,VDIF OVL
 20-03-18,22:57:29,Ch6,T. UNDER
 20-03-18,23:00:29,Ch6,T. UNDER
 20-03-18,23:09:31,Ch6,T. UNDER
 20-03-18,23:10:31,Ch6,T. UNDER
 20-03-18,23:11:31,Ch6,T. UNDER
 20-03-18,23:12:31,Ch6,T. UNDER
 20-03-18,23:13:32,Ch6,T. UNDER
 20-03-18,23:16:32,Ch6,T. UNDER
 20-03-18,23:17:32,Ch6,T. UNDER
 20-03-18,23:18:32,Ch6,T. UNDER
 20-03-18,23:19:32,Ch6,T. UNDER
 20-03-18,23:20:33,Ch6,T. UNDER
 20-03-18,23:21:33,Ch6,T. UNDER
 20-03-18,23:23:33,Ch6,T. UNDER
 20-03-18,23:24:33,Ch6,T. UNDER
 20-03-18,23:25:33,Ch6,T. UNDER
 20-03-18,23:26:34,Ch6,T. UNDER
 20-03-18,23:27:34,Ch6,T. UNDER
 20-03-18,23:28:34,Ch6,T. UNDER
 20-03-18,23:29:34,Ch6,T. UNDER
 20-03-18,23:30:34,Ch6,T. UNDER
 20-03-18,23:32:34,Ch6,T. UNDER
 20-03-18,23:33:35,Ch6,T. UNDER
 20-03-18,23:34:35,Ch6,T. UNDER
 20-03-18,23:35:35,Ch6,T. UNDER
 20-03-18,23:36:35,Ch6,T. UNDER
 20-03-18,23:37:35,Ch6,T. UNDER
 20-03-18,23:38:35,Ch6,T. UNDER
 20-03-18,23:39:36,Ch6,T. UNDER
 20-03-18,23:40:36,Ch6,T. UNDER
 20-03-18,23:41:36,Ch6,T. UNDER
 20-03-18,23:42:36,Ch6,T. UNDER
 20-03-18,23:43:36,Ch6,T. UNDER
 20-03-18,23:44:36,Ch6,T. UNDER
 20-03-18,23:45:36,Ch6,T. UNDER
 20-03-18,23:46:37,Ch6,T. UNDER
 20-03-18,23:47:37,Ch6,T. UNDER
 20-03-18,23:48:37,Ch6,T. UNDER
 20-03-18,23:49:37,Ch6,T. UNDER
 20-03-18,23:50:37,Ch6,T. UNDER
 20-03-18,23:51:38,Ch6,T. UNDER
 20-03-18,23:52:38,Ch6,T. UNDER
 20-03-18,23:53:38,Ch6,T. UNDER
 20-03-18,23:54:38,Ch6,T. UNDER
 20-03-18,23:55:38,Ch6,T. UNDER
 20-03-18,23:56:38,Ch6,T. UNDER
 20-03-18,23:57:39,Ch6,T. UNDER
 20-03-18,23:58:39,Ch6,T. UNDER
 20-03-18,23:59:39,Ch6,T. UNDER
