Date: 2018/03/22, Time: 14:47:41
RAW SENSOR UNITS FILE
________________________________
Time,GR31309,GR31310,X109928
1.5217588144563310e+09,2.81805100e+06,5.25497300e+02,1.37630900e+05
1.5217588333376770e+09,1.40699200e+06,5.20121600e+02,1.26198600e+05
1.5217588522338850e+09,4.03842900e+05,5.11651400e+02,1.05226600e+05
1.5217588711521320e+09,1.47489700e+05,4.99976800e+02,4.58601300e+04
1.5217588900644751e+09,3.48714800e+04,4.83824900e+02,3.26366100e+04
1.5217589089549601e+09,1.88720200e+04,4.66057100e+02,2.00549900e+04
1.5217589278684070e+09,1.00816100e+04,4.47429500e+02,1.56734500e+04
1.5217589467811661e+09,7.25903200e+03,4.29202100e+02,1.28834600e+04
1.5217589656745000e+09,5.49174500e+03,4.10608600e+02,1.16484500e+04
1.5217589845932159e+09,5.10557200e+03,3.93724200e+02,1.09857600e+04
1.5217590035034380e+09,4.69936000e+03,3.78191900e+02,1.08636700e+04
1.5217590224139249e+09,4.78338500e+03,3.64055100e+02,1.16141000e+04
1.5217590412983711e+09,5.38057700e+03,3.51960400e+02,1.29801500e+04
1.5217590601909299e+09,6.75499100e+03,3.41645100e+02,1.52266100e+04
1.5217590790811951e+09,8.40684900e+03,3.33194200e+02,1.80870200e+04
1.5217590979985781e+09,1.08295300e+04,3.27099800e+02,2.11299500e+04
1.5217591169124880e+09,1.35486400e+04,3.21731200e+02,2.44711200e+04
1.5217591358176799e+09,1.70710200e+04,3.18783000e+02,2.84222700e+04
1.5217591547068400e+09,2.17333500e+04,3.16773800e+02,3.29873200e+04
1.5217591736231589e+09,2.76995900e+04,3.15749800e+02,3.80599500e+04
1.5217591925132160e+09,3.54500300e+04,3.16110200e+02,4.38547000e+04
1.5217592114022689e+09,4.59418800e+04,3.16702100e+02,4.87821000e+04
1.5217592302880130e+09,5.11385100e+04,3.18214800e+02,4.74006500e+04
1.5217592491823220e+09,4.80150200e+04,3.20471400e+02,4.78758900e+04
1.5217592680992579e+09,5.01861200e+04,3.23176300e+02,4.99062300e+04
1.5217592870132251e+09,5.57416200e+04,3.26505300e+02,5.28548200e+04
1.5217593059283290e+09,6.39576900e+04,3.30292800e+02,5.67800000e+04
1.5217593248390141e+09,7.37190700e+04,3.34649000e+02,6.07850400e+04
1.5217593437556560e+09,8.42941300e+04,3.39056900e+02,6.40659400e+04
1.5217593626732790e+09,9.51209700e+04,3.43629400e+02,6.79254600e+04
1.5217593815883219e+09,1.05983100e+05,3.48822500e+02,7.02171600e+04
1.5217594004955060e+09,1.18211400e+05,3.53778800e+02,7.26023400e+04
1.5217594193829260e+09,1.29793100e+05,3.58677400e+02,7.33040500e+04
1.5217594382797220e+09,1.34984000e+05,3.64337900e+02,7.68823600e+04
1.5217594571874299e+09,1.45805200e+05,3.69650500e+02,7.73163200e+04
1.5217594760813329e+09,1.48477000e+05,3.75145400e+02,7.94831100e+04
1.5217594949907329e+09,1.63189900e+05,3.80477700e+02,8.05428800e+04
1.5217595139145601e+09,1.69393800e+05,3.85849100e+02,8.08866800e+04
1.5217595328124361e+09,1.79231000e+05,3.91288700e+02,8.21417900e+04
1.5217595517138259e+09,1.93000100e+05,3.96533100e+02,8.60077200e+04
1.5217595706228859e+09,2.08032700e+05,4.01854800e+02,8.72427100e+04
1.5217595895172920e+09,2.18049200e+05,4.07337600e+02,8.88554800e+04
1.5217596084258130e+09,2.26312400e+05,4.13090700e+02,8.93689700e+04
1.5217596273403549e+09,2.39172000e+05,4.18305600e+02,9.01559300e+04
1.5217596462371941e+09,2.42606600e+05,4.22730900e+02,9.09870800e+04
1.5217596651475439e+09,2.61149200e+05,4.27914800e+02,9.20189700e+04
1.5217596840632260e+09,2.73340800e+05,4.32759400e+02,9.30255000e+04
1.5217597029842639e+09,2.74554300e+05,4.37467300e+02,9.38998700e+04
1.5217597218925800e+09,2.84347200e+05,4.42565600e+02,9.36124300e+04
1.5217597408044770e+09,2.91781800e+05,4.47574200e+02,9.44349300e+04
1.5217597597245190e+09,3.03833600e+05,4.52291100e+02,9.50184700e+04
1.5217597786345911e+09,3.01873200e+05,4.56561200e+02,9.53973700e+04
1.5217597975479960e+09,3.12044800e+05,4.60630500e+02,9.58461000e+04
1.5217598164388521e+09,3.22497100e+05,4.64162900e+02,9.62135100e+04
1.5217598353504610e+09,3.13069600e+05,4.67156400e+02,9.57065500e+04
1.5217598542509811e+09,3.26501500e+05,4.70248900e+02,9.51872800e+04
1.5217598731579249e+09,3.10142000e+05,4.73215400e+02,9.26410100e+04
1.5217598920750360e+09,3.05503400e+05,4.75700500e+02,9.21380400e+04
1.5217599109904189e+09,3.07104300e+05,4.77927800e+02,9.20694700e+04
1.5217599299068210e+09,2.86984300e+05,4.79341300e+02,9.15015900e+04
1.5217599488110499e+09,2.79937800e+05,4.80708600e+02,9.06340900e+04
1.5217599677066700e+09,2.68473300e+05,4.81678500e+02,8.98594200e+04
1.5217599866243279e+09,2.59046600e+05,4.82509300e+02,8.70671000e+04
1.5217600055331390e+09,2.11636200e+05,4.82780900e+02,7.20525000e+04
1.5217600244483740e+09,1.03947700e+05,4.82734000e+02,6.38227700e+04
1.5217600433634989e+09,8.59562400e+04,4.82273300e+02,5.89859500e+04
1.5217600622795000e+09,6.73111100e+04,4.80213000e+02,5.16913500e+04
1.5217600812027459e+09,5.00169800e+04,4.76029400e+02,4.33922600e+04
1.5217601001098001e+09,3.68949200e+04,4.70342400e+02,3.66900600e+04
1.5217601190266099e+09,2.73698300e+04,4.61924800e+02,3.00782900e+04
1.5217601379452200e+09,1.81349100e+04,4.50856400e+02,2.12766400e+04
1.5217601568543651e+09,1.05998100e+04,4.37759900e+02,1.64088000e+04
1.5217601757694130e+09,7.92972800e+03,4.22911000e+02,1.44446800e+04
1.5217601946878941e+09,6.62699000e+03,4.07270900e+02,1.29325700e+04
1.5217602135998850e+09,5.66524100e+03,3.92137500e+02,1.11642900e+04
