Temperature             Voltage
(Kelvin)                (Volts)


1.20000679168157E+00   1.62351
1.30014861635697E+00   1.62241
1.39947126052093E+00   1.62119
1.69805221365115E+00   1.61676
2.00327439781697E+00   1.61125
2.39852810149463E+00   1.60300
2.80317996718587E+00   1.59369
3.19749617322269E+00   1.58417
3.70048295842058E+00   1.57130
4.19757720288967E+00   1.55726
5.10193886104178E+00   1.52835
6.14841818571338E+00   1.49237
7.20014247841165E+00   1.45606
8.26442656309408E+00   1.42176
9.32848025765650E+00   1.39102
1.03809701802983E+01   1.36389
1.14231021021025E+01   1.33964
1.24401875862080E+01   1.31810
1.34361752653145E+01   1.29882
1.44162156455834E+01   1.28133
1.53806973835446E+01   1.26530
1.63318735588203E+01   1.25034
1.72759905905474E+01   1.23608
1.82159304871326E+01   1.22222
1.91541705377484E+01   1.20848
2.01038110374643E+01   1.19432
2.10611788127175E+01   1.17913
2.18398322459712E+01   1.16506
2.26275005841852E+01   1.14823
2.32257467010079E+01   1.13602
2.38293274696900E+01   1.12750
2.44178631560384E+01   1.12257
2.50140807450378E+01   1.11934
2.56071570964531E+01   1.11697
2.64073943624232E+01   1.11443
2.71875666001122E+01   1.11236
2.79854759280919E+01   1.11048
2.89846425517398E+01   1.10834
2.99793125447958E+01   1.10635
3.19870432101303E+01   1.10259
3.49753634347739E+01   1.09736
3.79771721556045E+01   1.09238
4.19779354403774E+01   1.08598
4.59732042059477E+01   1.07963
5.19736629988304E+01   1.07004
5.79732019376770E+01   1.06034
6.39700793897457E+01   1.05049
6.99693019437670E+01   1.04047
7.59642556201068E+01   1.03026
8.19563775852527E+01   1.01986
8.79557163182964E+01   1.00927
9.39546673622798E+01   0.99848
9.99525910009178E+01   0.98751
1.09966352182459E+02   0.96880
1.24961346880387E+02   0.93998
1.39961565163171E+02   0.91028
1.54953305254994E+02   0.87987
1.69963713012624E+02   0.84879
1.84953834414944E+02   0.81720
1.99968329311451E+02   0.78508
2.14970618003329E+02   0.75255
2.29962331982473E+02   0.71964
2.44955155396256E+02   0.68637
2.59958363942354E+02   0.65274
2.74969288434857E+02   0.61879
2.89984388034720E+02   0.58456
3.05001326383982E+02   0.55008
3.15024468694722E+02   0.52693
3.20023746656606E+02   0.51535
3.26013083712415E+02   0.50146
3.30002303760327E+02   0.49219
