Temperature Voltage
(Kelvin) (Volts)


2.565 1.611
2.806 1.605
3.199 1.596
3.702 1.583
4.198 1.568
5.103 1.538
6.149 1.501
7.201 1.464
8.268 1.428
9.331 1.397
10.385 1.368
11.433 1.343
12.452 1.321
13.450 1.300
14.421 1.283
15.384 1.266
16.336 1.251
17.279 1.236
18.225 1.222
19.171 1.208
20.110 1.193
21.075 1.178
21.844 1.164
22.628 1.146
23.237 1.135
23.844 1.127
24.420 1.122
25.034 1.119
25.621 1.117
26.409 1.114
27.199 1.112
27.993 1.110
29.001 1.108
29.982 1.106
32.000 1.102
34.998 1.097
37.979 1.092
41.982 1.086
45.988 1.080
51.975 1.070
57.977 1.060
63.975 1.050
69.970 1.040
75.968 1.030
81.957 1.020
87.961 1.009
93.960 0.998
99.958 0.987
109.970 0.968
124.966 0.939
139.965 0.909
154.959 0.879
169.967 0.848
184.958 0.816
199.969 0.784
214.972 0.751
229.967 0.718
244.958 0.685
259.958 0.651
274.970 0.617
289.986 0.583
