Film burner diode
T	resistance
(K)	(ohm)

0.8	1.786952
0.825	1.786834
0.85	1.786715
0.875	1.786596
0.9	1.786475
0.925	1.786354
0.95	1.786231
0.975	1.786106
1	1.78598
1.05	1.785721
1.08	1.785562
1.1	1.785454
1.15	1.785177
1.2	1.784888
1.25	1.784587
1.3	1.784271
1.35	1.78394
1.4	1.783591
1.45	1.783225
1.5	1.782838
1.55	1.782431
1.6	1.782001
1.65	1.781548
1.7	1.781069
1.75	1.780564
1.8	1.780031
1.85	1.779469
1.9	1.778876
1.95	1.778252
2	1.777594
2.1	1.776172
2.2	1.774601
2.3	1.772948
2.4	1.771161
2.5	1.769231
2.6	1.767163
2.7	1.76496
2.8	1.762628
2.9	1.760171
3	1.757593
3.1	1.7549
3.2	1.752096
3.3	1.749186
3.4	1.746173
3.5	1.743063
3.6	1.739861
3.7	1.736571
3.8	1.733197
3.9	1.729744
4	1.726217
4.1	1.72262
4.2	1.718958
4.3	1.715236
4.4	1.711458
4.5	1.707629
4.6	1.703753
4.7	1.699835
4.8	1.69588
4.9	1.691891
5	1.687875
5.25	1.677741
5.5	1.66653
5.75	1.65208
6	1.63806
6.25	1.62415
6.5	1.61017
6.75	1.59602
7	1.58184
7.25	1.56763
7.5	1.55334
8	1.52557
8.5	1.49951
9	1.47461
9.5	1.45131
10	1.43073
11	1.39581
12	1.36418
13	1.33748
14	1.31328
15	1.28978
16	1.26708
17	1.24583
18	1.22463
19	1.20503
20	1.18663
21	1.16953
22	1.15357
24	1.13285
26	1.12006
28	1.111
30	1.10676
32	1.10417
34	1.10095
36	1.0979
38	1.09498
40	1.09197
42	1.08982
44	1.08667
46	1.08374
48	1.08078
50	1.07779
52	1.07471
54	1.07156
56	1.06844
58	1.06518
60	1.06189
65	1.05345
70	1.04484
75	1.03607
77	1.03261
80	1.02743
85	1.01875
90	1.00992
95	1.00108
100	0.99214
110	0.97397
120	0.9553
130	0.93626
140	0.91684
150	0.89698
160	0.87665
170	0.85611
180	0.8353
190	0.81426
200	0.79299
210	0.77149
220	0.74988
230	0.72795
240	0.70644
250	0.68512
260	0.66338
270	0.64142
280	0.61935
290	0.59725
300	0.57447
310	0.551
320	0.52621
