Temperature             Resistance
(Kelvin)                (Ohms)


8.33570582688494E-02   1.09804000000000E+05
9.52284032775143E-02   6.04130000000000E+04
1.12108654595629E-01   3.00568000000000E+04
1.28323684418610E-01   1.70966000000000E+04
1.45904577053502E-01   1.02637000000000E+04
1.62496493419628E-01   6.88660000000000E+03
1.82185964521022E-01   4.56774000000000E+03
2.03797720266005E-01   3.12616000000000E+03
2.29493105321336E-01   2.14598000000000E+03
2.59901701739026E-01   1.48673000000000E+03
2.89918998031576E-01   1.10098000000000E+03
3.10503526576731E-01   9.22000000000000E+02
3.30276515991621E-01   7.92180000000000E+02
3.68085100980519E-01   6.16370000000000E+02
4.17668871143699E-01   4.72848000000000E+02
4.75575408397814E-01   3.70632000000000E+02
5.34434656289893E-01   3.04503000000000E+02
6.09571089734434E-01   2.49550000000000E+02
6.84812149913553E-01   2.12656000000000E+02
7.64335960278109E-01   1.84966000000000E+02
8.54243062438833E-01   1.62277000000000E+02
9.49712024459957E-01   1.44339000000000E+02
1.05061692568238E+00   1.29796000000000E+02
1.14930963937785E+00   1.18585000000000E+02
1.20067366022323E+00   1.13629000000000E+02
1.29910749927310E+00   1.05009070130175E+02
1.39895241647840E+00   9.82188785093867E+01
1.60019255490813E+00   8.73272769738476E+01
1.79983586087100E+00   7.91022028778240E+01
2.00012566444921E+00   7.26936987466181E+01
2.20201511628756E+00   6.74474082271079E+01
2.40825224392888E+00   6.29977912779215E+01
2.59609120671838E+00   5.95865142990204E+01
2.79753709973476E+00   5.64204748609880E+01
2.99542612813151E+00   5.37209222565916E+01
3.19984918749541E+00   5.12713498211065E+01
3.39471277629250E+00   4.92046131536811E+01
3.59290080528779E+00   4.73189137427865E+01
3.79228827348970E+00   4.56069165150410E+01
3.99816589785007E+00   4.40091838645194E+01
4.19714514815659E+00   4.26004643087422E+01
4.61689433193587E+00   3.99868162410239E+01
5.01886085391806E+00   3.78604276093631E+01
5.52011969248432E+00   3.55994297674205E+01
6.22450289681285E+00   3.29826403705299E+01
7.03467047884232E+00   3.05488362369451E+01
8.04486613433333E+00   2.81408207380419E+01
9.05179521024700E+00   2.62395308669434E+01
1.00626345258362E+01   2.46915793979988E+01
1.10784305664155E+01   2.34125877068817E+01
1.20900135951630E+01   2.23487573237113E+01
1.30963124181248E+01   2.14548943291809E+01
1.40987801403372E+01   2.06929234179147E+01
1.50935342928035E+01   2.00386733220900E+01
1.60857414376410E+01   1.94668108335391E+01
1.70694025686897E+01   1.89659982311976E+01
1.80574466131826E+01   1.85164696971926E+01
1.90446641770484E+01   1.81100073775634E+01
2.00309271202604E+01   1.77412214099857E+01
2.11205084964331E+01   1.73698603528190E+01
2.27083005603534E+01   1.68773294889649E+01
2.43067095090475E+01   1.64289650083231E+01
2.58917407531850E+01   1.60185443805770E+01
2.75037280377448E+01   1.56255093440700E+01
2.91100727117230E+01   1.52543725840197E+01
3.09223514591671E+01   1.48489050729082E+01
3.30248110779828E+01   1.43957011436328E+01
3.60252295338862E+01   1.37681656964103E+01
3.90164344430554E+01   1.31597406394540E+01
4.20098846483173E+01   1.25673333883680E+01
4.50071537648165E+01   1.19893168327654E+01
