He4 Buffer Head RuO2
Temp	Resistance
(K)	(Ohm)

0.05	63765.093
0.055	52106.706
0.06	43515.78
0.065	37123.896
0.07	32601.283
0.075	29253.31
0.08	26563.618
0.085	24330.677
0.09	22443.68
0.095	20820.341
0.1	19400.468
0.11	17039.129
0.12	15165.463
0.13	13658.217
0.14	12431.613
0.15	11421.609
0.16	10579.591
0.17	9868.596
0.18	9261.107
0.19	8735.858
0.2	8277.056
0.21	7872.352
0.22	7512.681
0.23	7190.652
0.24	6900.157
0.25	6636.722
0.26	6396.627
0.27	6176.7
0.28	5974.484
0.29	5787.872
0.3	5615.03
0.32	5304.976
0.34	5034.682
0.36	4797.016
0.38	4586.345
0.4	4398.491
0.42	4230.018
0.44	4078.034
0.46	3940.326
0.48	3815.025
0.5	3700.518
0.55	3453.501
0.6	3250.526
0.65	3080.725
0.7	2936.565
0.75	2812.425
0.8	2704.598
0.85	2609.096
0.9	2523.007
0.95	2446.939
1	2380.767
1.05	2320.085
1.1	2263.645
1.15	2211.3
1.2	2162.933
1.3	2077.48
1.4	2005.177
1.5	1943.254
1.6	1889.421
1.7	1841.854
1.8	1799.379
1.9	1761.101
2	1726.405
2.1	1694.798
2.2	1665.903
2.3	1639.398
2.4	1615.014
2.5	1592.512
2.6	1571.691
2.7	1552.367
2.8	1534.385
2.9	1517.604
3	1501.905
3.1	1487.181
3.2	1473.34
3.3	1460.3
3.4	1447.99
3.5	1436.348
3.6	1425.318
3.7	1414.85
3.8	1404.903
3.9	1395.435
4	1386.413
4.2	1369.584
4.4	1354.199
4.6	1340.083
4.8	1327.083
5	1315.073
5.2	1303.938
5.4	1293.599
5.6	1283.982
5.8	1275.01
6	1266.578
6.5	1247.556
7	1231.551
7.5	1217.388
8	1204.75
8.5	1193.602
9	1183.729
9.5	1174.892
10	1166.915
10.5	1159.651
11	1153.006
11.5	1146.901
12	1141.28
12.5	1136.092
13	1131.295
13.5	1126.849
14	1122.719
14.5	1118.874
15	1115.285
15.5	1111.927
16	1108.777
16.5	1105.815
17	1103.024
17.5	1100.389
18	1097.896
18.5	1095.534
19	1093.292
19.5	1091.161
20	1089.133
21	1085.358
22	1081.916
23	1078.766
24	1075.874
25	1073.21
26	1070.749
27	1068.47
28	1066.352
29	1064.38
30	1062.539
31	1060.815
32	1059.198
33	1057.677
34	1056.243
35	1054.889
36	1053.606
37	1052.39
38	1051.234
39	1050.134
40	1049.085
300	1025
