Interhead Cernox Calibration
Temperature             Resistance
(Kelvin)                (Ohms)

2.59147062000000E-01   3.16144000000000E+04
2.88587846000000E-01   2.28187000000000E+04
3.08021367000000E-01   1.88921000000000E+04
3.27536036000000E-01   1.59836000000000E+04
3.65345173000000E-01   1.21525000000000E+04
4.15873615000000E-01   9.04460000000000E+03
4.74758234000000E-01   6.86760000000000E+03
5.35145798000000E-01   5.46860000000000E+03
6.10782305000000E-01   4.34437000000000E+03
6.86097899000000E-01   3.60437000000000E+03
7.65937579000000E-01   3.05890000000000E+03
8.55484060000000E-01   2.62445000000000E+03
9.51860597000000E-01   2.27799000000000E+03
1.05087866314658E+00   2.01297334434001E+03
1.14953953906852E+00   1.81068969710191E+03
1.19918441740928E+00   1.72660009110940E+03
1.29972381285448E+00   1.58190123621807E+03
1.40018221467165E+00   1.46309991311765E+03
1.59949260356844E+00   1.28108571584317E+03
1.79933042763933E+00   1.14752390247681E+03
1.99959607897942E+00   1.04525417861291E+03
2.19911620272041E+00   9.64426416100422E+02
2.39904624952017E+00   8.98542253208769E+02
2.59674280066222E+00   8.44279561619121E+02
2.79471379247678E+00   7.98446741313465E+02
2.99655521987959E+00   7.58257502773880E+02
3.19568348879050E+00   7.23979595109431E+02
3.39906282142096E+00   6.93359658867265E+02
3.60225745185660E+00   6.66289706303189E+02
3.79941229807848E+00   6.42810802925289E+02
3.98690912901217E+00   6.22698754777115E+02
4.19208282428881E+00   6.02808710862836E+02
4.61803662465076E+00   5.67095772059330E+02
5.02115362669123E+00   5.38665439369211E+02
5.52241393937625E+00   5.08879810988675E+02
6.22816474124559E+00   4.74768991143963E+02
7.03888848978835E+00   4.43319169713626E+02
8.05669112408492E+00   4.12077012503416E+02
9.06643922562496E+00   3.87298058303077E+02
1.00792909679173E+01   3.66725818779062E+02
1.10987007531869E+01   3.49272289146492E+02
1.21123993477297E+01   3.34297837108892E+02
1.31196211927355E+01   3.21354241676680E+02
1.41202670216800E+01   3.09933503401714E+02
1.51138174718283E+01   2.99782842882256E+02
1.61013776144906E+01   2.90639877494926E+02
1.70828040079518E+01   2.82344330684517E+02
1.80665558509572E+01   2.74704498905125E+02
1.90499785047747E+01   2.67646265799937E+02
2.00343934025058E+01   2.61083651461386E+02
2.11212265365378E+01   2.54359082102825E+02
2.27088309993581E+01   2.45361826030818E+02
2.43063053533881E+01   2.37149605490277E+02
2.58940789605515E+01   2.29689282931775E+02
2.75084811942226E+01   2.22728108312878E+02
2.91144936736857E+01   2.16324567619544E+02
3.09305312078583E+01   2.09637524168021E+02
3.30373279008188E+01   2.02528069801171E+02
3.60405226346805E+01   1.93393356561518E+02
3.90294322657414E+01   1.85287089493167E+02
4.20267018006649E+01   1.77958822589687E+02
4.50206747121811E+01   1.71375715501386E+02
4.80280810921160E+01   1.65319130679632E+02
5.00224293394818E+01   1.61592945389749E+02
5.50233951016630E+01   1.53111045745928E+02
6.00276484195089E+01   1.45664309866251E+02
6.50250552074244E+01   1.39061472824693E+02
7.00207916084601E+01   1.33168584178360E+02
7.50139997147027E+01   1.27833257389238E+02
8.00100615838354E+01   1.22996884934067E+02
8.50106013580944E+01   1.18569291516338E+02
9.00085312989441E+01   1.14500718622611E+02
9.50058920958715E+01   1.10749333644679E+02
1.00007210232992E+02   1.07264868457846E+02
1.10003479532049E+02   1.01003860128763E+02
1.20002557955450E+02   9.55157672917805E+01
1.30004590650904E+02   9.06525270617078E+01
1.40003856047745E+02   8.63225681353689E+01
1.50008435212158E+02   8.24265341955193E+01
1.60011613981372E+02   7.89021955420866E+01
1.70009676704128E+02   7.57070528803607E+01
1.80011798294424E+02   7.27892677240555E+01
1.90005752835520E+02   7.01208420284482E+01
2.00010255696473E+02   6.76687469762126E+01
2.10020017668963E+02   6.54103507092097E+01
2.20015399083088E+02   6.33224635944801E+01
2.30002218310755E+02   6.13941512096171E+01
2.40008255934519E+02   5.96014208538664E+01
2.50179936790888E+02   5.79028318069621E+01
2.60013192908651E+02   5.63803455835352E+01
2.70008468699338E+02   5.49303482520778E+01
2.80016168694389E+02   5.35730459985884E+01
2.90027943808896E+02   5.23002814771005E+01
3.00039204612656E+02   5.11058926250126E+01
3.10043628763249E+02   4.99857398959567E+01
3.15049242179465E+02   4.94535032852534E+01
3.20044907165707E+02   4.89369932411836E+01
3.26029637654652E+02   4.83394418228610E+01
3.30047595879714E+02   4.79445679910732E+01
