# R17051 Calibration File 06/01/17 08:52:44
# Temperature Resistance
# (K) (Ohms)
# 
2.33653e-01 1.21604e+04
2.59995e-01 1.12999e+04
2.89663e-01 1.05883e+04
3.10204e-01 1.00296e+04
3.30019e-01 9.59972e+03
3.67930e-01 8.84215e+03
4.17788e-01 8.16552e+03
4.75127e-01 7.50067e+03
5.35725e-01 6.95548e+03
6.08657e-01 6.44333e+03
6.83265e-01 5.99793e+03
7.65477e-01 5.61924e+03
8.53874e-01 5.36692e+03
9.50066e-01 5.00890e+03
1.05083e+00 4.74710e+03
1.15149e+00 4.56840e+03
1.20009e+00 4.48655e+03
1.30010e+00 4.35909e+03
1.39992e+00 4.19543e+03
1.59948e+00 3.96495e+03
1.79976e+00 3.77390e+03
2.00161e+00 3.60208e+03
2.18652e+00 3.47178e+03
2.41750e+00 3.34437e+03
2.58119e+00 3.26505e+03
2.81329e+00 3.17105e+03
2.95002e+00 3.11927e+03
3.12272e+00 3.03223e+03
3.12272e+00 3.03223e+03
3.70315e+00 2.90691e+03
3.70315e+00 2.90691e+03
4.26232e+00 2.80490e+03
4.26232e+00 2.80490e+03
4.77551e+00 2.73837e+03
5.18893e+00 2.68293e+03
5.54631e+00 2.64936e+03
6.14613e+00 2.59161e+03
7.10412e+00 2.51920e+03
8.10227e+00 2.46076e+03
9.04710e+00 2.41286e+03
1.00411e+01 2.36819e+03
1.11875e+01 2.33247e+03
1.22088e+01 2.30405e+03
1.30852e+01 2.27957e+03
1.40014e+01 2.26375e+03
1.49528e+01 2.24346e+03
1.61847e+01 2.22518e+03
1.70607e+01 2.21353e+03
1.79300e+01 2.20445e+03
1.90001e+01 2.18532e+03
2.00285e+01 2.17959e+03
2.12244e+01 2.16702e+03
2.26395e+01 2.15570e+03
2.43121e+01 2.14149e+03
2.59360e+01 2.13088e+03
2.76703e+01 2.11884e+03
2.90135e+01 2.11245e+03
3.07545e+01 2.10391e+03
3.27410e+01 2.10138e+03
3.59882e+01 2.08970e+03
3.89765e+01 2.07963e+03
4.20587e+01 2.06764e+03
4.50478e+01 2.06718e+03
4.81006e+01 2.06239e+03
4.99830e+01 2.05336e+03
5.52151e+01 2.04786e+03
6.01079e+01 2.04263e+03
6.50452e+01 2.04233e+03
7.00458e+01 2.03656e+03
7.48450e+01 2.03277e+03
8.01352e+01 2.02760e+03
8.49941e+01 2.02635e+03
9.01102e+01 2.02553e+03
9.50811e+01 2.02429e+03
1.00005e+02 2.02164e+03
1.09807e+02 2.02142e+03
1.20134e+02 2.01365e+03
1.29828e+02 2.01333e+03
1.39999e+02 2.01261e+03
1.49957e+02 2.01223e+03
1.59973e+02 2.00931e+03
1.69937e+02 2.00899e+03
1.79973e+02 2.00824e+03
1.89979e+02 2.00772e+03
2.00026e+02 2.00712e+03
2.10001e+02 2.00676e+03
2.20000e+02 2.00647e+03
2.30010e+02 2.00633e+03
2.40033e+02 1.99209e+03
2.49985e+02 1.99175e+03
2.60059e+02 1.99127e+03
2.70019e+02 1.99078e+03
2.79990e+02 1.99020e+03
2.90068e+02 1.99003e+03
