Ultrahead Cernox calibration 
Temperature             Resistance
(Kelvin)                (Ohms)

8.36605260000000E-02   1.49405000000000E+05
9.56056870000000E-02   8.10000000000000E+04
1.12106759000000E-01   4.05727000000000E+04
1.27946576000000E-01   2.49507000000000E+04
1.45981945000000E-01   1.67058000000000E+04
1.61931924000000E-01   1.26309000000000E+04
1.81961825000000E-01   9.37890000000000E+03
2.04023647000000E-01   7.15770000000000E+03
2.29896539000000E-01   5.53520000000000E+03
2.59973868000000E-01   4.33885000000000E+03
2.89984806000000E-01   3.54527000000000E+03
3.09996831000000E-01   3.15037000000000E+03
3.30040043000000E-01   2.83788000000000E+03
3.67903837000000E-01   2.38129000000000E+03
4.17990851000000E-01   1.96298000000000E+03
4.75998669000000E-01   1.63832000000000E+03
5.35024514000000E-01   1.40600000000000E+03
6.09836979000000E-01   1.19717000000000E+03
6.84804405000000E-01   1.04660000000000E+03
7.65151071000000E-01   9.26910000000000E+02
8.55259154000000E-01   8.26620000000000E+02
9.50105734000000E-01   7.45650000000000E+02
1.04790954868182E+00   6.79500000000000E+02
1.15165505664443E+00   6.22142365901058E+02
1.20406258875288E+00   5.98520993981431E+02
1.29756563907598E+00   5.62046779478807E+02
1.39938005264124E+00   5.28150417613861E+02
1.59955253260431E+00   4.75219862322119E+02
1.79887337272474E+00   4.35191857548534E+02
1.99904323426811E+00   4.03610349469890E+02
2.19774304688631E+00   3.78186650955006E+02
2.39443635202286E+00   3.57242431076932E+02
2.59619731976172E+00   3.39065395014943E+02
2.79922571608795E+00   3.23405551731029E+02
2.99339679234724E+00   3.10399311920042E+02
3.19761638788596E+00   2.98401902634757E+02
3.39535294424717E+00   2.88137482384102E+02
3.59903561072537E+00   2.78676249700702E+02
3.80066492601687E+00   2.70259046877183E+02
4.00006922626296E+00   2.62737889322599E+02
4.20475432032214E+00   2.55698046942858E+02
4.66547503699565E+00   2.42045182569510E+02
5.05780122221813E+00   2.32119438592790E+02
5.55288632737020E+00   2.21439203763736E+02
6.25875644464560E+00   2.08880016071366E+02
7.06754834008035E+00   1.97192330286109E+02
8.07727722839041E+00   1.85425345027986E+02
9.09546132165014E+00   1.75814725123118E+02
1.01139455631298E+01   1.67820940031948E+02
1.11295860505409E+01   1.61024486518862E+02
1.21407271312538E+01   1.55143931391708E+02
1.31453009461900E+01   1.49996005629162E+02
1.41404764075661E+01   1.45467507989321E+02
1.51317195209542E+01   1.41390109125405E+02
1.61158213509371E+01   1.37700499079832E+02
1.71005788618163E+01   1.34316275099825E+02
1.80785963331730E+01   1.31216715557677E+02
1.90609548650770E+01   1.28324246276321E+02
2.00427357934747E+01   1.25628641753392E+02
2.11214864645748E+01   1.22864961336478E+02
2.27082404319171E+01   1.19119535164743E+02
2.43241448949594E+01   1.15652406044433E+02
2.59562156647630E+01   1.12431866139109E+02
2.75886125751506E+01   1.09466238344267E+02
2.92134152605037E+01   1.06721728973828E+02
3.10404181427929E+01   1.03866251374920E+02
3.31594230054111E+01   1.00813380367963E+02
3.61713324625033E+01   9.68707688771238E+01
3.91702622138220E+01   9.33554969873335E+01
4.21642772705407E+01   9.01743743119757E+01
4.51563304387297E+01   8.72839510821522E+01
4.81548609531989E+01   8.46327661143895E+01
5.01506812116455E+01   8.29869119295849E+01
5.51528572769169E+01   7.92233582079135E+01
6.01539856178938E+01   7.58995456070484E+01
6.51514132544093E+01   7.29364299740778E+01
7.01514546827471E+01   7.02663193296438E+01
7.51434408189969E+01   6.78512866137734E+01
8.01335055647046E+01   6.56495672816309E+01
8.51263822858608E+01   6.36264129848319E+01
9.01210022238231E+01   6.17618468745562E+01
9.51155914525417E+01   6.00333031470519E+01
1.00112536873433E+02   5.84188643801970E+01
1.10111079241797E+02   5.55035762005518E+01
1.20106252795504E+02   5.29318979332682E+01
1.30102034063953E+02   5.06393763194453E+01
1.40091682074335E+02   4.85814607095641E+01
1.50087027100864E+02   4.67174302257960E+01
1.60080543364152E+02   4.50226034417383E+01
1.70079973731808E+02   4.34750849346655E+01
1.80077729845616E+02   4.20535004251983E+01
1.90070185009791E+02   4.07483700191215E+01
2.00061636846842E+02   3.95440606272068E+01
2.10064385450124E+02   3.84288658887652E+01
2.20068057482641E+02   3.73912533537234E+01
2.30061787953952E+02   3.64291507779293E+01
2.40055928378080E+02   3.55295648929361E+01
2.50062608823009E+02   3.46898888476079E+01
2.60042688053191E+02   3.39073041145152E+01
2.70056550722676E+02   3.31719228321492E+01
2.80046638692907E+02   3.24826484950222E+01
2.90055217611941E+02   3.18353473443405E+01
3.00050100655654E+02   3.12266761758468E+01
3.10048865849696E+02   3.06568355777110E+01
3.15053457283611E+02   3.03824314506120E+01
3.20044170656126E+02   3.01156782217412E+01
3.26325439862661E+02   2.97903894489430E+01
3.31511351375723E+02   2.95324643338786E+01
