# X109928 calibration file, created 20171029-211618
# Temperature	Resistance
# 		[K]				[Ohms]
# 
5.50077000e-02 5.37401166e+04
6.00442000e-02 4.78858927e+04
6.48504000e-02 4.24196986e+04
6.96547000e-02 3.73415343e+04
7.53225000e-02 3.26513998e+04
8.08154000e-02 2.83492950e+04
8.48241000e-02 2.44352201e+04
9.09092000e-02 2.09091749e+04
9.37047000e-02 1.77711595e+04
9.98199000e-02 1.50211739e+04
1.03221000e-01 1.26592181e+04
1.10730000e-01 1.15246236e+04
1.14803000e-01 1.05275257e+04
1.19208000e-01 9.87412387e+03
1.23766000e-01 9.56304149e+03
1.28819000e-01 8.91884197e+03
1.33939000e-01 8.26687527e+03
1.39557000e-01 7.77410659e+03
1.45391000e-01 7.31066372e+03
1.51390000e-01 6.96513804e+03
1.57722000e-01 6.55597701e+03
1.57722000e-01 6.19687533e+03
1.64490000e-01 5.83970297e+03
1.71262000e-01 5.47773636e+03
1.78437000e-01 5.13199491e+03
1.78437000e-01 4.79635471e+03
1.85783000e-01 4.44478045e+03
1.93499000e-01 4.08710971e+03
1.93499000e-01 3.72179278e+03
2.01417000e-01 3.34664363e+03
2.17773000e-01 3.01582487e+03
2.42621000e-01 2.69403037e+03
2.59164000e-01 2.38636280e+03
2.83925000e-01 2.08181907e+03
2.99311000e-01 1.82883153e+03
3.22277000e-01 1.60897862e+03
3.43278000e-01 1.42099955e+03
3.62492000e-01 1.29849313e+03
3.79533000e-01 1.23320299e+03
4.05370000e-01 1.17938895e+03
4.23966000e-01 1.12220887e+03
4.42311000e-01 1.07522333e+03
4.63295000e-01 1.02435046e+03
4.81899000e-01 9.81682345e+02
5.05044000e-01 9.39473415e+02
5.32874000e-01 8.98511251e+02
5.65432000e-01 8.58926476e+02
5.97232000e-01 8.23942292e+02
6.26829000e-01 7.87667808e+02
6.54426000e-01 7.53206611e+02
6.94423000e-01 7.21776463e+02
7.27254000e-01 6.87592678e+02
7.65355000e-01 6.53387994e+02
8.01451000e-01 6.25270066e+02
8.36224000e-01 6.01405820e+02
8.81171000e-01 5.80197592e+02
9.21660000e-01 5.63619530e+02
9.64014000e-01 5.51056694e+02
1.01308000e+00 5.41899536e+02
1.04867000e+00 5.25079200e+02
1.08752000e+00 5.09713974e+02
1.13484000e+00 4.95682253e+02
1.17703000e+00 4.84738657e+02
1.24232000e+00 4.73911033e+02
1.33634000e+00 4.62973240e+02
1.45387000e+00 4.53202554e+02
1.56649000e+00 4.41635756e+02
1.67537000e+00 4.29342667e+02
1.73053000e+00 4.14837267e+02
1.86839000e+00 3.99578448e+02
2.15267000e+00 3.84014835e+02
2.15267000e+00 3.68298812e+02
2.30767000e+00 3.51927065e+02
2.44894000e+00 3.35785821e+02
2.61674000e+00 3.17910180e+02
2.81587000e+00 3.00883209e+02
2.92036000e+00 2.84859860e+02
3.10707000e+00 2.69931398e+02
3.28872000e+00 2.56553665e+02
3.47836000e+00 2.44437509e+02
3.64561000e+00 2.35107866e+02
3.81583000e+00 2.28775996e+02
4.05865000e+00 2.26264899e+02
4.34524000e+00 2.21848210e+02
4.61909000e+00 2.18686808e+02
4.88987000e+00 2.15769017e+02
5.21696000e+00 2.10860499e+02
5.55065000e+00 2.06946501e+02
5.86298000e+00 2.03644124e+02
6.28151000e+00 2.02167934e+02
6.59033000e+00 2.00928806e+02
6.95782000e+00 1.99115578e+02
7.40815000e+00 1.95950598e+02
7.92407000e+00 1.92207931e+02
7.92407000e+00 1.88241553e+02
8.50902000e+00 1.83805272e+02
9.16737000e+00 1.78456329e+02
9.16737000e+00 1.72771568e+02
9.82347000e+00 1.66928051e+02
1.06853000e+01 1.61081803e+02
1.07765000e+01 1.55462240e+02
1.15300000e+01 1.50184444e+02
1.15615000e+01 1.45352334e+02
1.22497000e+01 1.40896187e+02
1.28876000e+01 1.37062416e+02
1.34325000e+01 1.33788119e+02
1.39418000e+01 1.31460423e+02
1.43939000e+01 1.30177287e+02
1.52143000e+01 1.29547058e+02
1.58738000e+01 1.29660810e+02
1.63035000e+01 1.28798575e+02
1.71207000e+01 1.27538079e+02
1.75806000e+01 1.26104766e+02
1.84452000e+01 1.24390279e+02
1.92166000e+01 1.22405081e+02
1.99075000e+01 1.20220052e+02
2.06936000e+01 1.17915855e+02
2.18785000e+01 1.15536317e+02
2.31151000e+01 1.13082857e+02
2.44123000e+01 1.10702320e+02
2.58603000e+01 1.08446731e+02
2.72202000e+01 1.06217499e+02
2.87010000e+01 1.03824960e+02
3.03015000e+01 1.01415629e+02
3.18342000e+01 9.90847338e+01
3.34489000e+01 9.69986591e+01
3.50188000e+01 9.50729352e+01
3.65214000e+01 9.33246759e+01
3.83111000e+01 9.18423144e+01
4.00036000e+01 9.04286241e+01
4.17429000e+01 8.91018437e+01
4.34455000e+01 8.76352347e+01
