# X110595 Calibration File 05/29/17 15:01:03
# Temperature Resistance
# (K) (Ohms)
# 
2.43540e-01 4.03063e+03
2.60011e-01 3.62804e+03
2.89872e-01 3.06282e+03
3.09993e-01 2.76793e+03
3.30349e-01 2.52038e+03
3.68488e-01 2.15643e+03
4.17640e-01 1.81704e+03
4.75452e-01 1.53410e+03
5.32613e-01 1.33130e+03
6.08415e-01 1.13573e+03
6.86249e-01 9.90755e+02
7.64952e-01 8.79244e+02
8.55823e-01 7.81460e+02
9.49983e-01 7.03297e+02
1.05123e+00 6.37334e+02
1.14839e+00 5.86548e+02
1.19957e+00 5.63559e+02
1.29877e+00 5.24802e+02
1.40080e+00 4.91321e+02
1.59911e+00 4.39649e+02
1.80048e+00 4.01769e+02
2.00062e+00 3.85966e+02
2.19149e+00 3.65181e+02
2.40005e+00 3.56420e+02
2.60175e+00 3.52030e+02
2.80278e+00 3.50368e+02
3.00459e+00 3.40316e+02
3.20535e+00 3.39183e+02
3.40031e+00 3.24280e+02
3.58267e+00 2.81662e+02
3.79700e+00 2.77045e+02
3.99574e+00 2.59312e+02
4.20181e+00 2.51908e+02
4.61722e+00 2.48548e+02
5.01940e+00 2.39541e+02
5.52304e+00 2.22863e+02
6.24024e+00 2.17395e+02
6.97348e+00 2.12525e+02
8.04985e+00 2.00993e+02
9.04840e+00 1.80059e+02
9.96567e+00 1.71432e+02
1.09692e+01 1.69632e+02
1.20899e+01 1.64700e+02
1.33176e+01 1.54786e+02
1.38827e+01 1.48272e+02
1.51209e+01 1.45983e+02
1.61103e+01 1.44827e+02
1.70824e+01 1.41437e+02
1.80767e+01 1.36056e+02
1.90499e+01 1.31462e+02
2.00475e+01 1.29992e+02
2.11126e+01 1.23046e+02
2.27572e+01 1.18102e+02
2.43417e+01 1.17205e+02
2.58265e+01 1.15120e+02
2.74931e+01 1.12313e+02
2.90413e+01 1.12050e+02
3.12509e+01 1.11271e+02
3.29976e+01 1.08615e+02
3.60598e+01 9.75570e+01
3.90004e+01 9.68717e+01
4.20390e+01 9.54688e+01
4.49988e+01 8.95264e+01
4.78727e+01 8.93760e+01
4.99659e+01 8.89203e+01
5.50510e+01 8.43486e+01
6.00595e+01 7.65052e+01
6.48011e+01 7.36240e+01
7.01123e+01 7.10498e+01
7.49445e+01 6.85332e+01
7.99170e+01 6.70415e+01
8.50827e+01 6.48390e+01
9.00173e+01 6.26765e+01
9.50772e+01 6.08799e+01
9.98874e+01 5.78117e+01
1.09992e+02 5.51690e+01
1.19959e+02 5.27106e+01
1.29988e+02 5.00687e+01
1.40086e+02 4.84868e+01
1.50007e+02 4.63619e+01
1.60009e+02 4.53067e+01
1.69844e+02 4.39580e+01
1.80002e+02 4.19171e+01
1.89861e+02 4.11041e+01
2.00136e+02 3.87918e+01
2.10004e+02 3.82863e+01
2.20094e+02 3.72353e+01
2.30040e+02 3.54852e+01
2.40040e+02 3.50509e+01
2.50084e+02 3.46805e+01
2.60024e+02 3.43856e+01
2.70041e+02 3.39403e+01
2.80046e+02 3.27667e+01
2.90044e+02 3.25583e+01
