Temp	X110598
(Kelvin)    (Ohms)


0.22998066	6484.893
0.23383074	6328.252
0.280141227	4452.561
0.30058221	3878.264
0.393002064	2484.691
0.721533216	1288.168
1.00426554	786.9349
1.20039049	661.8369
1.6936063	499.9914
2.00761179	434.3329
3.07681488	336.0362
4.09897415	289.7443
5.01964028	251.6771
5.9770711	230.5862
6.04516162	229.8783
7.07760791	213.5114
8.03040291	201.2237
8.99214774	191.1243
10.1803015	182.1615
19.658795	145.6327
30.4306348	114.5002
40.7003953	97.44302
50.8565075	86.39588
69.0629689	73.37391
94.1254342	61.67427
119.023895	53.7245
144.124452	47.80796
169.063985	43.22535
194.044003	39.58822
219.025796	36.61799
244.118002	34.15646
269.07111	32.10447
294.57205	30.32954
