Temperature             Resistance	
(Kelvin)                (Ohms)	
	
0.320032966	3415.820086
0.344462186	3007.531568
0.363625739	2766.01
0.39385225	2420.666667
0.419057	2176.19
0.457223	1914.525
0.531846	1481.436667
0.824794	986.08
0.898087333	913.32
0.9583492	866.13825
1.028041667	814.334
1.10373	772.5385714
1.191640769	721.7014286
1.275608462	681.3375
1.365107647	646.6082
1.457092105	616.529
1.562203913	584.736
1.673047742	556.0221176
1.793909	530.7841765
1.922501087	505.5141111
2.056031071	483.840697
2.203273571	462.7256
2.359055604	442.2465893
2.533298675	423.7272245
2.707702609	407.7650896
2.89290087	392.3529857
3.111789279	375.9696769
3.328615606	362.7628267
3.561013165	349.7440444
3.815620108	337.3350463
4.059125333	327.4230602
4.383061008	314.2292083
4.651889898	305.7089194
5.021628421	294.1606364
5.38196596	284.7060847
5.769257836	275.725557
6.172687895	267.428303
6.625096689	259.0983743
7.096978272	251.448256
7.469353462	246.5178848
8.184200367	236.8779521
8.566195188	233.033712
9.307954394	224.4530513
9.979963729	218.1361212
10.68358966	212.3995714
11.44849531	206.5436154
12.26770303	200.9884103
13.13586933	195.6552791
14.07246867	190.4995714
15.06340652	185.6001111
16.1082049	180.9081
17.27432269	176.3177
18.49543281	171.7094795
19.81079338	167.1911013
21.22824126	162.7181341
22.73949745	158.1411196
24.33536807	153.9348265
26.11131183	149.6138919
27.94600047	145.4989365
29.9072589	141.5466115
31.93448377	137.7786161
34.14032386	134.0398679
36.67007937	129.9226486
39.34935357	126.0958485
42.16871404	122.3620303
45.15991017	118.6250303
48.34042581	115.0430278
51.81695217	111.4906
55.56249861	107.9628837
59.48322237	104.5587273
63.65882317	101.2705
68.16346854	98.05785962
72.99990211	94.82877091
78.18322941	91.75138167
83.7353156	88.71863065
89.69006983	85.70423623
96.07527177	82.79333472
102.8923931	79.963204
110.2101469	77.11881687
118.0669338	74.38499535
126.456908	71.71424632
135.4477886	69.09526465
145.1120838	66.52980367
155.4405433	64.0201405
166.5904825	61.65389466
178.3274708	59.301592
190.9699244	57.00711786
204.512145	54.80084872
219.3899406	52.57792287
235.1445194	50.44120166
251.8540796	48.44330749
270.3915	46.4607678
286.7092628	45.08996605
298.9030821	43.88301294

