Temperature             Voltage	
(Kelvin)                (Volts)	
	
2.637709905	1.772146512
2.641318169	1.772027114
2.644927365	1.771907715
2.648537959	1.771788317
2.652150417	1.771668918
2.655765204	1.771549519
2.659382787	1.771430121
2.663003631	1.771310722
2.666628203	1.771191324
2.670256968	1.771071925
2.673890392	1.770952526
2.677528941	1.770833128
2.681173081	1.770713729
2.684823278	1.770594331
2.688479998	1.770474932
2.692143707	1.770355533
2.695814871	1.770236135
2.699493955	1.770116736
2.703181425	1.769997338
2.706877748	1.769877939
2.71058339	1.76975854
2.714298816	1.769639142
2.718024492	1.769519743
2.721760884	1.769400345
2.725508458	1.769280946
2.72926768	1.769161547
2.733039016	1.769042149
2.736822932	1.76892275
2.740619893	1.768803352
2.744430367	1.768683953
2.748254817	1.768564554
2.752093712	1.768445156
2.755947515	1.768325757
2.759816694	1.768206359
2.763701714	1.76808696
2.767603042	1.767967561
2.771521142	1.767848163
2.77545639	1.767728764
2.779407713	1.767609365
2.783372897	1.767489967
2.787349693	1.767370568
2.791335852	1.76725117
2.795329127	1.767131771
2.79932727	1.767012372
2.803328032	1.766892974
2.807329166	1.766773575
2.811328424	1.766654177
2.815323557	1.766534778
2.819312318	1.766415379
2.823292457	1.766295981
2.827261729	1.766176582
2.831217883	1.766057184
2.835158673	1.765937785
2.839081849	1.765818386
2.842985165	1.765698988
2.846866372	1.765579589
2.850723222	1.765460191
2.854553467	1.765340792
2.858354858	1.765221393
2.862125149	1.765101995
2.86586209	1.764982596
2.869563434	1.764863198
2.873226933	1.764743799
2.876850611	1.7646244
2.880434483	1.764505002
2.883979445	1.764385603
2.887486395	1.764266205
2.890956234	1.764146806
2.894389859	1.764027407
2.897788172	1.763908009
2.90115207	1.76378861
2.904482453	1.763669211
2.907780221	1.763549813
2.911046273	1.763430414
2.914281507	1.763311016
2.917486824	1.763191617
2.920663123	1.763072218
2.923811302	1.76295282
2.926932262	1.762833421
2.930026901	1.762714023
2.933096119	1.762594624
2.936140815	1.762475225
2.939161888	1.762355827
2.942160238	1.762236428
2.945136764	1.76211703
2.948092365	1.761997631
2.951027941	1.761878232
2.95394439	1.761758834
2.956842612	1.761639435
2.959723507	1.761520037
2.962587974	1.761400638
2.965436911	1.761281239
2.968271219	1.761161841
2.971091797	1.761042442
2.973899543	1.760923044
2.976695357	1.760803645
2.979480139	1.760684246
2.982254787	1.760564848
2.985020202	1.760445449
2.987777281	1.760326051
2.990526925	1.760206652
2.993270034	1.760087253
2.996007505	1.759967855
2.998740238	1.759848456
3.001469134	1.759729057
3.00419509	1.759609659
3.006919007	1.75949026
3.009641783	1.759370862
3.012364319	1.759251463
3.015087512	1.759132064
3.017812263	1.759012666
3.020539471	1.758893267
3.023270034	1.758773869
3.026004853	1.75865447
3.028744827	1.758535071
3.031490854	1.758415673
3.034243835	1.758296274
3.037004669	1.758176876
3.039774254	1.758057477
3.04255349	1.757938078
3.045343276	1.75781868
3.048144512	1.757699281
3.050958097	1.757579883
3.053784931	1.757460484
3.056625912	1.757341085
3.059481939	1.757221687
3.062353913	1.757102288
3.065242732	1.75698289
3.068149296	1.756863491
3.071074504	1.756744092
3.074019029	1.756624694
3.076982264	1.756505295
3.079963147	1.756385897
3.082960617	1.756266498
3.085973612	1.756147099
3.08900107	1.756027701
3.09204193	1.755908302
3.09509513	1.755788903
3.098159608	1.755669505
3.101234303	1.755550106
3.104318154	1.755430708
3.107410098	1.755311309
3.110509075	1.75519191
3.113614022	1.755072512
3.116723877	1.754953113
3.11983758	1.754833715
3.122954069	1.754714316
3.126072281	1.754594917
3.129191156	1.754475519
3.132309632	1.75435612
3.135426646	1.754236722
3.138541139	1.754117323
3.141652047	1.753997924
3.144758309	1.753878526
3.147858865	1.753759127
3.150952651	1.753639729
3.154038607	1.75352033
3.15711567	1.753400931
3.16018278	1.753281533
3.163238875	1.753162134
3.166282892	1.753042736
3.169313771	1.752923337
3.17233045	1.752803938
3.175331866	1.75268454
3.17831696	1.752565141
3.181284668	1.752445743
3.18423393	1.752326344
3.187163683	1.752206945
3.190072866	1.752087547
3.192960418	1.751968148
3.195825277	1.75184875
3.198666381	1.751729351
3.201482668	1.751609952
3.204273078	1.751490554
3.207036548	1.751371155
3.209772017	1.751251756
3.212478423	1.751132358
3.215154704	1.751012959
3.2177998	1.750893561
3.220412647	1.750774162
3.222992234	1.750654763
3.225538915	1.750535365
3.228054587	1.750415966
3.230541224	1.750296568
3.233000804	1.750177169
3.235435302	1.75005777
3.237846696	1.749938372
3.24023696	1.749818973
3.242608072	1.749699575
3.244962007	1.749580176
3.247300743	1.749460777
3.249626254	1.749341379
3.251940518	1.74922198
3.254245511	1.749102582
3.256543209	1.748983183
3.258835588	1.748863784
3.261124624	1.748744386
3.263412295	1.748624987
3.265700575	1.748505589
3.267991442	1.74838619
3.270286871	1.748266791
3.272588839	1.748147393
3.274899323	1.748027994
3.277220298	1.747908596
3.27955374	1.747789197
3.281901626	1.747669798
3.284265933	1.7475504
3.286648636	1.747431001
3.289051712	1.747311602
3.291477137	1.747192204
3.293926887	1.747072805
3.296402938	1.746953407
3.298907268	1.746834008
3.301441851	1.746714609
3.304008665	1.746595211
3.306609686	1.746475812
3.309246889	1.746356414
3.311922251	1.746237015
3.314637749	1.746117616
3.317395359	1.745998218
3.320197056	1.745878819
3.323044818	1.745759421
3.32594062	1.745640022
3.328886439	1.745520623
3.331884251	1.745401225
3.334936032	1.745281826
3.338043759	1.745162428
3.341209407	1.745043029
3.344434954	1.74492363
3.347722375	1.744804232
3.351073647	1.744684833
3.354490745	1.744565435
3.357975647	1.744446036
3.361530328	1.744326637
3.365156764	1.744207239
3.368856933	1.74408784
3.37263281	1.743968442
3.376486371	1.743849043
3.380419593	1.743729644
3.384434453	1.743610246
3.388532925	1.743490847
3.392716987	1.743371448
3.396988615	1.74325205
3.401349784	1.743132651
3.405802473	1.743013253
3.410348655	1.742893854
3.414990309	1.742774455
3.419729073	1.742655057
3.42455919	1.742535658
3.4294677	1.74241626
3.434441341	1.742296861
3.439466854	1.742177462
3.444530978	1.742058064
3.449620454	1.741938665
3.45472202	1.741819267
3.459822417	1.741699868
3.464908385	1.741580469
3.469966663	1.741461071
3.474983991	1.741341672
3.47994711	1.741222274
3.484842947	1.741102875
3.489664622	1.740983476
3.494412666	1.740864078
3.49908805	1.740744679
3.503691742	1.740625281
3.508224712	1.740505882
3.51268793	1.740386483
3.517082366	1.740267085
3.521408988	1.740147686
3.525668768	1.740028288
3.529862674	1.739908889
3.533991675	1.73978949
3.538056742	1.739670092
3.542058844	1.739550693
3.545998951	1.739431295
3.549878032	1.739311896
3.553697057	1.739192497
3.557456996	1.739073099
3.561158817	1.7389537
3.564803492	1.738834301
3.568391988	1.738714903
3.571925277	1.738595504
3.575404327	1.738476106
3.578830108	1.738356707
3.58220359	1.738237308
3.585525742	1.73811791
3.588797534	1.737998511
3.592019935	1.737879113
3.595193916	1.737759714
3.598320445	1.737640315
3.601400493	1.737520917
3.604435028	1.737401518
3.607425021	1.73728212
3.610371441	1.737162721
3.613275258	1.737043322
3.616137441	1.736923924
3.61895896	1.736804525
3.621740785	1.736685127
3.624483884	1.736565728
3.627189229	1.736446329
3.629857787	1.736326931
3.63249053	1.736207532
3.635088426	1.736088134
3.637652445	1.735968735
3.640183557	1.735849336
3.642682732	1.735729938
3.645150938	1.735610539
3.647589145	1.735491141
3.649998324	1.735371742
3.652379444	1.735252343
3.654733474	1.735132945
3.657061383	1.735013546
3.659364143	1.734894147
3.661642721	1.734774749
3.663898088	1.73465535
3.666131214	1.734535952
3.668343067	1.734416553
3.670534618	1.734297154
3.672706837	1.734177756
3.674860691	1.734058357
3.676997153	1.733938959
3.67911719	1.73381956
3.681221772	1.733700161
3.68331187	1.733580763
3.685388453	1.733461364
3.68745249	1.733341966
3.68950495	1.733222567
3.691546805	1.733103168
3.693579022	1.73298377
3.695602572	1.732864371
3.697618425	1.732744973
3.69962755	1.732625574
3.701630916	1.732506175
3.703629493	1.732386777
3.705624251	1.732267378
3.707616159	1.73214798
3.709606188	1.732028581
3.711595305	1.731909182
3.713584482	1.731789784
3.715574688	1.731670385
3.717566892	1.731550987
3.719562064	1.731431588
3.721561174	1.731312189
