Temperature Voltage	
(Kelvin)    (Volts)	
1.4	1.69812
1.400680136	1.6981104949
1.4013602721	1.6981009898
1.4020404081	1.6980914846
1.4027205441	1.6980819793
1.4034006801	1.6980724739
1.4040808162	1.6980629684
1.4047609522	1.6980534628
1.4054410882	1.6980439569
1.4061212242	1.6980344508
1.4068013603	1.6980249445
1.4074814963	1.6980154379
1.4081616323	1.698005931
1.4088417684	1.6979964238
1.4095219044	1.6979869162
1.4102020404	1.6979774083
1.4108821764	1.6979678999
1.4115623125	1.6979583911
1.4122424485	1.6979488819
1.4129225845	1.6979393721
1.4136027205	1.6979298619
1.4142828566	1.6979203511
1.4149629926	1.6979108397
1.4156431286	1.6979013277
1.4163232647	1.6978918152
1.4170034007	1.6978823019
1.4176835367	1.697872788
1.4183636727	1.6978632734
1.4190438088	1.697853758
1.4197239448	1.6978442419
1.4204040808	1.697834725
1.4210842168	1.6978252073
1.4217643529	1.6978156887
1.4224444889	1.6978061693
1.4231246249	1.697796649
1.423804761	1.6977871278
1.424484897	1.6977776056
1.425165033	1.6977680824
1.425845169	1.6977585582
1.4265253051	1.697749033
1.4272054411	1.6977395068
1.4278855771	1.6977299794
1.4285657131	1.697720451
1.4292458492	1.6977109214
1.4299259852	1.6977013906
1.4306061212	1.6976918587
1.4312862573	1.6976823255
1.4319663933	1.6976727911
1.4326465293	1.6976632554
1.4333266653	1.6976537184
1.4340068014	1.69764418
1.4346869374	1.6976346404
1.4353670734	1.6976250993
1.4360472094	1.6976155568
1.4367273455	1.6976060129
1.4374074815	1.6975964675
1.4380876175	1.6975869207
1.4387677536	1.6975773723
1.4394478896	1.6975678223
1.4401280256	1.6975582708
1.4408081616	1.6975487177
1.4414882977	1.697539163
1.4421684337	1.6975296066
1.4428485697	1.6975200485
1.4435287057	1.6975104887
1.4442088418	1.6975009272
1.4448889778	1.6974913639
1.4455691138	1.6974817989
1.4462492498	1.697472232
1.4469293859	1.6974626632
1.4476095219	1.6974530926
1.4482896579	1.6974435201
1.448969794	1.6974339457
1.44964993	1.6974243693
1.450330066	1.697414791
1.451010202	1.6974052106
1.4516903381	1.6973956282
1.4523704741	1.6973860437
1.4530506101	1.6973764572
1.4537307461	1.6973668685
1.4544108822	1.6973572777
1.4550910182	1.6973476847
1.4557711542	1.6973380896
1.4564512903	1.6973284922
1.4571314263	1.6973188925
1.4578115623	1.6973092906
1.4584916983	1.6972996863
1.4591718344	1.6972900798
1.4598519704	1.6972804708
1.4605321064	1.6972708595
1.4612122424	1.6972612458
1.4618923785	1.6972516296
1.4625725145	1.697242011
1.4632526505	1.6972323899
1.4639327866	1.6972227662
1.4646129226	1.69721314
1.4652930586	1.6972035112
1.4659731946	1.6971938798
1.4666533307	1.6971842458
1.4673334667	1.6971746092
1.4680136027	1.6971649698
1.4686937387	1.6971553277
1.4693738748	1.6971456829
1.4700540108	1.6971360353
1.4707341468	1.697126385
1.4714142829	1.6971167318
1.4720944189	1.6971070757
1.4727745549	1.6970974168
1.4734546909	1.697087755
1.474134827	1.6970780903
1.474814963	1.6970684226
1.475495099	1.6970587519
1.476175235	1.6970490782
1.4768553711	1.6970394015
1.4775355071	1.6970297217
1.4782156431	1.6970200388
1.4788957792	1.6970103528
1.4795759152	1.6970006636
1.4802560512	1.6969909713
1.4809361872	1.6969812757
1.4816163233	1.696971577
1.4822964593	1.696961875
1.4829765953	1.6969521697
1.4836567313	1.6969424611
1.4843368674	1.6969327491
1.4850170034	1.6969230338
1.4856971394	1.6969133152
1.4863772755	1.696903593
1.4870574115	1.6968938675
1.4877375475	1.6968841385
1.4884176835	1.6968744059
1.4890978196	1.6968646699
1.4897779556	1.6968549303
1.4904580916	1.6968451871
1.4911382276	1.6968354403
1.4918183637	1.6968256899
1.4924984997	1.6968159358
1.4931786357	1.696806178
1.4938587718	1.6967964165
1.4945389078	1.6967866513
1.4952190438	1.6967768823
1.4958991798	1.6967671095
1.4965793159	1.6967573329
1.4972594519	1.6967475524
1.4979395879	1.6967377681
1.4986197239	1.6967279798
1.49929986	1.6967181876
1.499979996	1.6967083914
1.500660132	1.6966985913
1.5013402681	1.6966887872
1.5020204041	1.696678979
1.5027005401	1.6966691667
1.5033806761	1.6966593503
1.5040608122	1.6966495299
1.5047409482	1.6966397052
1.5054210842	1.6966298764
1.5061012202	1.6966200434
1.5067813563	1.6966102062
1.5074614923	1.6966003647
1.5081416283	1.6965905189
1.5088217644	1.6965806688
1.5095019004	1.6965708143
1.5101820364	1.6965609555
1.5108621724	1.6965510923
1.5115423085	1.6965412247
1.5122224445	1.6965313526
1.5129025805	1.6965214761
1.5135827165	1.6965115951
1.5142628526	1.6965017095
1.5149429886	1.6964918193
1.5156231246	1.6964819246
1.5163032607	1.6964720253
1.5169833967	1.6964621213
1.5176635327	1.6964522127
1.5183436687	1.6964422994
1.5190238048	1.6964323813
1.5197039408	1.6964224586
1.5203840768	1.696412531
1.5210642128	1.6964025986
1.5217443489	1.6963926615
1.5224244849	1.6963827194
1.5231046209	1.6963727725
1.523784757	1.6963628206
1.524464893	1.6963528639
1.525145029	1.6963429021
1.525825165	1.6963329354
1.5265053011	1.6963229637
1.5271854371	1.6963129869
1.5278655731	1.696303005
1.5285457091	1.6962930181
1.5292258452	1.696283026
1.5299059812	1.6962730287
1.5305861172	1.6962630263
1.5312662533	1.6962530187
1.5319463893	1.6962430058
1.5326265253	1.6962329877
1.5333066613	1.6962229643
1.5339867974	1.6962129356
1.5346669334	1.6962029015
1.5353470694	1.6961928621
1.5360272054	1.6961828172
1.5367073415	1.696172767
1.5373874775	1.6961627113
1.5380676135	1.6961526501
1.5387477495	1.6961425834
1.5394278856	1.6961325111
1.5401080216	1.6961224333
1.5407881576	1.69611235
1.5414682937	1.696102261
1.5421484297	1.6960921663
1.5428285657	1.696082066
1.5435087017	1.69607196
1.5441888378	1.6960618483
1.5448689738	1.6960517308
1.5455491098	1.6960416076
1.5462292458	1.6960314785
1.5469093819	1.6960213437
1.5475895179	1.6960112029
1.5482696539	1.6960010563
1.54894979	1.6959909037
1.549629926	1.6959807453
1.550310062	1.6959705808
1.550990198	1.6959604104
1.5516703341	1.6959502339
1.5523504701	1.6959400514
1.5530306061	1.6959298628
1.5537107421	1.6959196681
1.5543908782	1.6959094673
1.5550710142	1.6958992603
1.5557511502	1.6958890472
1.5564312863	1.6958788278
1.5571114223	1.6958686022
1.5577915583	1.6958583703
1.5584716943	1.6958481322
1.5591518304	1.6958378877
1.5598319664	1.6958276368
1.5605121024	1.6958173796
1.5611922384	1.695807116
1.5618723745	1.695796846
1.5625525105	1.6957865695
1.5632326465	1.6957762865
1.5639127826	1.6957659971
1.5645929186	1.695755701
1.5652730546	1.6957453985
1.5659531906	1.6957350893
1.5666333267	1.6957247735
1.5673134627	1.6957144511
1.5679935987	1.695704122
1.5686737347	1.6956937861
1.5693538708	1.6956834436
1.5700340068	1.6956730943
1.5707141428	1.6956627383
1.5713942789	1.6956523754
1.5720744149	1.6956420057
1.5727545509	1.6956316291
1.5734346869	1.6956212456
1.574114823	1.6956108553
1.574794959	1.6956004579
1.575475095	1.6955900537
1.576155231	1.6955796424
1.5768353671	1.6955692241
1.5775155031	1.6955587987
1.5781956391	1.6955483663
1.5788757752	1.6955379267
1.5795559112	1.69552748
1.5802360472	1.6955170262
1.5809161832	1.6955065651
1.5815963193	1.6954960969
1.5822764553	1.6954856214
1.5829565913	1.6954751387
1.5836367273	1.6954646486
1.5843168634	1.6954541512
1.5849969994	1.6954436465
1.5856771354	1.6954331344
1.5863572715	1.6954226149
1.5870374075	1.695412088
1.5877175435	1.6954015536
1.5883976795	1.6953910117
1.5890778156	1.6953804623
1.5897579516	1.6953699054
1.5904380876	1.6953593409
1.5911182236	1.6953487688
1.5917983597	1.695338189
1.5924784957	1.6953276017
1.5931586317	1.6953170066
1.5938387678	1.6953064039
1.5945189038	1.6952957934
1.5951990398	1.6952851752
1.5958791758	1.6952745492
1.5965593119	1.6952639153
1.5972394479	1.6952532737
1.5979195839	1.6952426241
1.5985997199	1.6952319667
1.599279856	1.6952213014
1.599959992	1.6952106281
1.600640128	1.6951999468
