DiodeCal3	
Temp	Voltage
(K)	(V)

1	1.82254
1.05	1.82184
1.08	1.82136
1.1	1.82102
1.15	1.82016
1.2	1.81924
1.25	1.81826
1.3	1.81726
1.35	1.81625
1.4	1.81525
1.45	1.81422
1.5	1.81315
1.55	1.81208
1.6	1.81102
1.65	1.80993
1.7	1.80884
1.75	1.80772
1.8	1.80666
1.85	1.80561
1.9	1.80458
1.95	1.80359
2	1.80253
2.1	1.80041
2.2	1.79825
2.3	1.79604
2.4	1.79378
2.5	1.79119
2.6	1.78854
2.7	1.78592
2.8	1.78329
2.9	1.78061
3	1.77788
3.1	1.77519
3.2	1.77259
3.3	1.76988
3.4	1.76724
3.5	1.76449
3.6	1.76157
3.7	1.75837
3.8	1.75492
3.9	1.75098
4	1.7469
4.1	1.74244
4.2	1.73768
4.3	1.73292
4.4	1.72797
4.5	1.72283
4.6	1.7175
4.7	1.71197
4.8	1.70637
4.9	1.70063
5	1.69492
5.25	1.68064
5.5	1.66653
5.75	1.65208
6	1.63806
6.25	1.62415
6.5	1.61017
6.75	1.59602
7	1.58184
7.25	1.56763
7.5	1.55334
8	1.52557
8.5	1.49951
9	1.47461
9.5	1.45131
10	1.43073
11	1.39581
12	1.36418
13	1.33748
14	1.31328
15	1.28978
16	1.26708
17	1.24583
18	1.22463
19	1.20503
20	1.18663
21	1.16953
22	1.15357
24	1.13285
26	1.12006
28	1.111
30	1.10676
32	1.10417
34	1.10095
36	1.0979
38	1.09498
40	1.09197
42	1.08982
44	1.08667
46	1.08374
48	1.08078
50	1.07779
52	1.07471
54	1.07156
56	1.06844
58	1.06518
60	1.06189
65	1.05345
70	1.04484
75	1.03607
77	1.03261
80	1.02743
85	1.01875
90	1.00992
95	1.00108
100	0.99214
110	0.97397
120	0.9553
130	0.93626
140	0.91684
150	0.89698
160	0.87665
170	0.85611
180	0.8353
190	0.81426
200	0.79299
210	0.77149
220	0.74988
230	0.72795
240	0.70644
250	0.68512
260	0.66338
270	0.64142
280	0.61935
290	0.59725
300	0.57447
310	0.551
320	0.52621
