# GR31310 calibration file, created 2018-04-03 16:16:35.525942
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.19133000e-01 3.55630200e+02
1.19133000e-01 3.49195300e+02
1.23999000e-01 3.48041800e+02
1.31632000e-01 3.39027100e+02
1.31858000e-01 3.30822900e+02
1.39445000e-01 3.29296300e+02
1.40841000e-01 3.29296300e+02
1.50845000e-01 3.25281500e+02
1.56025000e-01 3.03135200e+02
