# X109928 calibration file, created 2018-04-11 16:05:48.166344
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.27707000e-02 1.58985200e+05
1.29976000e-02 9.15015900e+04
1.40044000e-02 9.09870800e+04
1.49578000e-02 8.72427100e+04
1.59999000e-02 7.73163200e+04
1.69329000e-02 7.26023400e+04
1.78856000e-02 3.26054600e+04
1.89605000e-02 3.26054600e+04
1.99566000e-02 3.26054600e+04
2.10660000e-02 3.26054600e+04
2.19103000e-02 3.26054600e+04
2.29289000e-02 3.26054600e+04
2.39433000e-02 3.26054600e+04
2.49829000e-02 3.26054600e+04
2.61416000e-02 3.26054600e+04
2.69464000e-02 3.26054600e+04
2.78144000e-02 3.26054600e+04
2.90613000e-02 3.26054600e+04
3.04470000e-02 3.26054600e+04
3.09044000e-02 3.26054600e+04
3.24323000e-02 3.26054600e+04
3.28996000e-02 3.26054600e+04
3.39759000e-02 3.26054600e+04
3.45289000e-02 3.26054600e+04
3.57340000e-02 3.26054600e+04
3.68958000e-02 3.26054600e+04
3.81337000e-02 3.26054600e+04
3.87850000e-02 3.26054600e+04
4.00894000e-02 3.26054600e+04
4.20453000e-02 3.26054600e+04
4.39769000e-02 3.26054600e+04
4.48116000e-02 3.26054600e+04
4.76743000e-02 3.26054600e+04
4.81672000e-02 3.26054600e+04
4.96509000e-02 3.26054600e+04
5.45817000e-02 3.26054600e+04
6.04116000e-02 3.26054600e+04
6.51753000e-02 3.26054600e+04
7.04678000e-02 3.26054600e+04
7.49400000e-02 3.26054600e+04
7.99700000e-02 3.26054600e+04
8.50616000e-02 3.26054600e+04
9.00400000e-02 3.26054600e+04
9.57561000e-02 3.26054600e+04
9.99785000e-02 3.26054600e+04
1.04730000e-01 3.26054600e+04
1.09556000e-01 3.26054600e+04
1.15654000e-01 3.26054600e+04
1.19133000e-01 3.26054600e+04
1.25297000e-01 1.29801500e+04
1.30144000e-01 9.68779800e+03
1.34562000e-01 7.02105600e+03
1.39445000e-01 5.99158000e+03
1.40841000e-01 5.63716700e+03
1.50845000e-01 5.02924900e+03
1.56025000e-01 4.66589800e+03
1.64873000e-01 4.37548600e+03
1.70880000e-01 4.07660400e+03
1.75133000e-01 3.97924000e+03
1.80062000e-01 3.80000100e+03
1.85012000e-01 3.61908100e+03
1.89620000e-01 3.45748300e+03
1.95671000e-01 3.28903500e+03
2.00437000e-01 3.15789300e+03
2.19828000e-01 2.73798100e+03
2.40569000e-01 2.37852200e+03
2.59244000e-01 2.14374000e+03
2.80130000e-01 1.93522500e+03
3.00573000e-01 1.76659400e+03
3.19841000e-01 1.64167800e+03
3.39932000e-01 1.51287700e+03
3.59988000e-01 1.41923000e+03
3.79679000e-01 1.33862200e+03
4.04364000e-01 1.24989100e+03
4.22256000e-01 1.18875600e+03
4.41998000e-01 1.13672600e+03
4.61525000e-01 1.08882900e+03
4.81929000e-01 1.03918300e+03
5.03785000e-01 9.92672500e+02
5.34062000e-01 9.38220600e+02
5.67035000e-01 8.89682900e+02
5.95381000e-01 8.50038100e+02
6.27083000e-01 8.11487200e+02
6.58282000e-01 7.74444300e+02
6.95274000e-01 7.39700000e+02
7.33180000e-01 7.08974400e+02
7.64325000e-01 6.84054600e+02
7.98295000e-01 6.60056000e+02
8.41829000e-01 6.29649000e+02
8.82778000e-01 6.10410700e+02
9.26806000e-01 5.82186400e+02
9.60863000e-01 5.72196800e+02
9.94273000e-01 5.54223000e+02
1.03497000e+00 5.38938100e+02
1.09509000e+00 5.21735000e+02
1.14359000e+00 5.08565000e+02
1.33202000e+00 4.49749000e+02
1.43101000e+00 4.25141900e+02
1.48594000e+00 4.21912700e+02
1.75629000e+00 3.72620300e+02
1.78642000e+00 3.63226200e+02
1.96434000e+00 3.49897200e+02
2.00393000e+00 3.47259400e+02
5.24418000e+01 8.21655800e+01
5.72782000e+01 7.86073500e+01
6.40327000e+01 7.41026700e+01
6.50164000e+01 7.35740400e+01
6.74866000e+01 7.18984300e+01
6.91446000e+01 7.11845300e+01
7.32129000e+01 6.88975900e+01
7.42153000e+01 6.83063600e+01
7.53817000e+01 6.79018800e+01
7.76774000e+01 6.65349200e+01
8.38440000e+01 6.36738300e+01
8.38834000e+01 6.35452200e+01
8.69354000e+01 6.19819200e+01
9.20919000e+01 5.97332100e+01
9.41110000e+01 5.88259100e+01
9.67084000e+01 5.78292100e+01
9.70629000e+01 5.75518800e+01
