# 4K Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523578207000000000e+09 2.971700000000000159e+02
1.523578267000000000e+09 2.971080000000000041e+02
1.523578327000000000e+09 2.970400000000000205e+02
1.523578387000000000e+09 2.969649999999999750e+02
1.523578447000000000e+09 2.968980000000000246e+02
1.523578508000000000e+09 2.968740000000000236e+02
1.523578568000000000e+09 2.968360000000000127e+02
1.523578628000000000e+09 2.968170000000000073e+02
1.523578688000000000e+09 2.967950000000000159e+02
1.523578748000000000e+09 2.967989999999999782e+02
1.523578809000000000e+09 2.967919999999999732e+02
1.523578869000000000e+09 2.967730000000000246e+02
1.523578929000000000e+09 2.967660000000000196e+02
1.523578989000000000e+09 2.967500000000000000e+02
1.523579049000000000e+09 2.967599999999999909e+02
1.523579109000000000e+09 2.967490000000000236e+02
1.523579169000000000e+09 2.967549999999999955e+02
1.523579230000000000e+09 2.967509999999999764e+02
1.523579290000000000e+09 2.967509999999999764e+02
1.523579350000000000e+09 2.967359999999999900e+02
1.523579410000000000e+09 2.967379999999999995e+02
1.523579471000000000e+09 2.967330000000000041e+02
1.523579531000000000e+09 2.967400000000000091e+02
1.523579591000000000e+09 2.967309999999999945e+02
1.523579651000000000e+09 2.967309999999999945e+02
1.523579711000000000e+09 2.967239999999999895e+02
1.523579771000000000e+09 2.967169999999999845e+02
1.523579832000000000e+09 2.967200000000000273e+02
1.523579892000000000e+09 2.967269999999999754e+02
1.523579952000000000e+09 2.967029999999999745e+02
1.523580012000000000e+09 2.966809999999999832e+02
1.523580072000000000e+09 2.965790000000000077e+02
1.523580133000000000e+09 2.965160000000000196e+02
1.523580193000000000e+09 2.964250000000000114e+02
1.523580253000000000e+09 2.961850000000000023e+02
1.523580313000000000e+09 2.960179999999999723e+02
1.523580373000000000e+09 2.956659999999999968e+02
1.523580433000000000e+09 2.954449999999999932e+02
1.523580494000000000e+09 2.949920000000000186e+02
1.523580554000000000e+09 2.947330000000000041e+02
1.523580614000000000e+09 2.944710000000000036e+02
1.523580674000000000e+09 2.939089999999999918e+02
1.523580735000000000e+09 2.935989999999999895e+02
1.523580795000000000e+09 2.929820000000000277e+02
1.523580855000000000e+09 2.926399999999999864e+02
1.523580915000000000e+09 2.919580000000000268e+02
1.523580975000000000e+09 2.916000000000000227e+02
1.523581035000000000e+09 2.912400000000000091e+02
1.523581096000000000e+09 2.904649999999999750e+02
1.523581156000000000e+09 2.900849999999999795e+02
1.523581216000000000e+09 2.892889999999999873e+02
1.523581276000000000e+09 2.888879999999999768e+02
1.523581337000000000e+09 2.880480000000000018e+02
1.523581397000000000e+09 2.876329999999999814e+02
1.523581457000000000e+09 2.867690000000000055e+02
