# Still Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523578207000000000e+09 2.970179999999999723e+02
1.523578267000000000e+09 2.970640000000000214e+02
1.523578327000000000e+09 2.968799999999999955e+02
1.523578387000000000e+09 2.968170000000000073e+02
1.523578447000000000e+09 2.967339999999999804e+02
1.523578508000000000e+09 2.966920000000000073e+02
1.523578568000000000e+09 2.966569999999999823e+02
1.523578628000000000e+09 2.966610000000000014e+02
1.523578688000000000e+09 2.966220000000000141e+02
1.523578748000000000e+09 2.965939999999999941e+02
1.523578809000000000e+09 2.966299999999999955e+02
1.523578869000000000e+09 2.965590000000000259e+02
1.523578929000000000e+09 2.965810000000000173e+02
1.523578989000000000e+09 2.965629999999999882e+02
1.523579049000000000e+09 2.965849999999999795e+02
1.523579109000000000e+09 2.965620000000000118e+02
1.523579169000000000e+09 2.965459999999999923e+02
1.523579230000000000e+09 2.965380000000000109e+02
1.523579290000000000e+09 2.965740000000000123e+02
1.523579350000000000e+09 2.965269999999999868e+02
1.523579410000000000e+09 2.965310000000000059e+02
1.523579471000000000e+09 2.965389999999999873e+02
1.523579531000000000e+09 2.965249999999999773e+02
1.523579591000000000e+09 2.965810000000000173e+02
1.523579651000000000e+09 2.965129999999999768e+02
1.523579711000000000e+09 2.965520000000000209e+02
1.523579771000000000e+09 2.965459999999999923e+02
1.523579832000000000e+09 2.965720000000000027e+02
1.523579892000000000e+09 2.965190000000000055e+02
1.523579952000000000e+09 2.965339999999999918e+02
1.523580012000000000e+09 2.965289999999999964e+02
1.523580072000000000e+09 2.965439999999999827e+02
1.523580133000000000e+09 2.965360000000000014e+02
1.523580193000000000e+09 2.965350000000000250e+02
1.523580253000000000e+09 2.965480000000000018e+02
1.523580313000000000e+09 2.964900000000000091e+02
1.523580373000000000e+09 2.965310000000000059e+02
1.523580433000000000e+09 2.964710000000000036e+02
1.523580494000000000e+09 2.964979999999999905e+02
1.523580554000000000e+09 2.964320000000000164e+02
1.523580614000000000e+09 2.964320000000000164e+02
1.523580674000000000e+09 2.963740000000000236e+02
1.523580735000000000e+09 2.963419999999999845e+02
1.523580795000000000e+09 2.962970000000000255e+02
1.523580855000000000e+09 2.962420000000000186e+02
1.523580915000000000e+09 2.962010000000000218e+02
1.523580975000000000e+09 2.961259999999999764e+02
1.523581035000000000e+09 2.960470000000000255e+02
1.523581096000000000e+09 2.959510000000000218e+02
1.523581156000000000e+09 2.959080000000000155e+02
1.523581216000000000e+09 2.958210000000000264e+02
1.523581276000000000e+09 2.957330000000000041e+02
1.523581337000000000e+09 2.956730000000000018e+02
1.523581397000000000e+09 2.955500000000000114e+02
1.523581457000000000e+09 2.954440000000000168e+02
1.523581517000000000e+09 2.952679999999999723e+02
1.523581577000000000e+09 2.952559999999999718e+02
1.523581638000000000e+09 2.950520000000000209e+02
1.523581698000000000e+09 2.950049999999999955e+02
1.523581758000000000e+09 2.949220000000000255e+02
1.523581818000000000e+09 2.947060000000000173e+02
1.523581878000000000e+09 2.946220000000000141e+02
1.523581938000000000e+09 2.944180000000000064e+02
1.523581999000000000e+09 2.942919999999999732e+02
1.523582059000000000e+09 2.940939999999999941e+02
1.523582119000000000e+09 2.940000000000000000e+02
1.523582179000000000e+09 2.938840000000000146e+02
1.523582239000000000e+09 2.936190000000000282e+02
1.523582300000000000e+09 2.935459999999999923e+02
1.523582360000000000e+09 2.932769999999999868e+02
1.523582420000000000e+09 2.931549999999999727e+02
1.523582480000000000e+09 2.928929999999999723e+02
1.523582540000000000e+09 2.927760000000000105e+02
1.523582600000000000e+09 2.924780000000000086e+02
1.523582661000000000e+09 2.923720000000000141e+02
1.523582721000000000e+09 2.922139999999999986e+02
1.523582781000000000e+09 2.919440000000000168e+02
1.523582841000000000e+09 2.917529999999999859e+02
1.523582901000000000e+09 2.915210000000000150e+02
1.523582961000000000e+09 2.913969999999999914e+02
1.523583021000000000e+09 2.910489999999999782e+02
1.523583082000000000e+09 2.909039999999999964e+02
1.523583142000000000e+09 2.907490000000000236e+02
1.523583202000000000e+09 2.904780000000000086e+02
1.523583262000000000e+09 2.903159999999999741e+02
1.523583322000000000e+09 2.899859999999999900e+02
1.523583383000000000e+09 2.897540000000000191e+02
1.523583443000000000e+09 2.894660000000000082e+02
1.523583503000000000e+09 2.893079999999999927e+02
1.523583563000000000e+09 2.891320000000000050e+02
1.523583623000000000e+09 2.888020000000000209e+02
1.523583683000000000e+09 2.886340000000000146e+02
1.523583744000000000e+09 2.883190000000000168e+02
1.523583804000000000e+09 2.880980000000000132e+02
1.523583864000000000e+09 2.877590000000000146e+02
1.523583924000000000e+09 2.875720000000000027e+02
1.523583984000000000e+09 2.873779999999999859e+02
1.523584044000000000e+09 2.870260000000000105e+02
1.523584104000000000e+09 2.868829999999999814e+02
1.523584165000000000e+09 2.865049999999999955e+02
1.523584225000000000e+09 2.863159999999999741e+02
1.523584285000000000e+09 2.859599999999999795e+02
1.523584345000000000e+09 2.857479999999999905e+02
1.523584406000000000e+09 2.855740000000000123e+02
1.523584466000000000e+09 2.851840000000000259e+02
1.523584526000000000e+09 2.850190000000000055e+02
1.523584587000000000e+09 2.846179999999999950e+02
1.523584647000000000e+09 2.844289999999999736e+02
1.523584707000000000e+09 2.840670000000000073e+02
1.523584767000000000e+09 2.838330000000000268e+02
1.523584827000000000e+09 2.834689999999999941e+02
1.523584888000000000e+09 2.832649999999999864e+02
1.523584948000000000e+09 2.830659999999999741e+02
1.523585008000000000e+09 2.827049999999999841e+02
1.523585068000000000e+09 2.824780000000000086e+02
1.523585128000000000e+09 2.820830000000000268e+02
1.523585188000000000e+09 2.818609999999999900e+02
1.523585248000000000e+09 2.815319999999999823e+02
1.523585309000000000e+09 2.812559999999999718e+02
1.523585369000000000e+09 2.810629999999999882e+02
1.523585429000000000e+09 2.806419999999999959e+02
1.523585489000000000e+09 2.804399999999999977e+02
1.523585549000000000e+09 2.800409999999999968e+02
1.523585609000000000e+09 2.798299999999999841e+02
1.523585670000000000e+09 2.794440000000000168e+02
1.523585730000000000e+09 2.792400000000000091e+02
1.523585790000000000e+09 2.790330000000000155e+02
1.523585850000000000e+09 2.786120000000000232e+02
1.523585910000000000e+09 2.783809999999999718e+02
1.523585971000000000e+09 2.780020000000000095e+02
1.523586031000000000e+09 2.778020000000000209e+02
1.523586091000000000e+09 2.773600000000000136e+02
1.523586151000000000e+09 2.771669999999999732e+02
1.523586211000000000e+09 2.769599999999999795e+02
1.523586271000000000e+09 2.765090000000000146e+02
1.523586331000000000e+09 2.763070000000000164e+02
1.523586391000000000e+09 2.758940000000000055e+02
1.523586452000000000e+09 2.756990000000000123e+02
1.523586512000000000e+09 2.752389999999999759e+02
1.523586572000000000e+09 2.749970000000000141e+02
1.523586632000000000e+09 2.748090000000000259e+02
1.523586692000000000e+09 2.743419999999999845e+02
1.523586752000000000e+09 2.741390000000000100e+02
1.523586813000000000e+09 2.737099999999999795e+02
1.523586873000000000e+09 2.734879999999999995e+02
1.523586933000000000e+09 2.730799999999999841e+02
1.523586993000000000e+09 2.728480000000000132e+02
1.523587053000000000e+09 2.723890000000000100e+02
1.523587113000000000e+09 2.721600000000000250e+02
1.523587173000000000e+09 2.719379999999999882e+02
1.523587234000000000e+09 2.714889999999999759e+02
1.523587294000000000e+09 2.713009999999999877e+02
1.523587354000000000e+09 2.708480000000000132e+02
1.523587414000000000e+09 2.705919999999999845e+02
1.523587474000000000e+09 2.701299999999999955e+02
1.523587534000000000e+09 2.698919999999999959e+02
1.523587595000000000e+09 2.696669999999999732e+02
1.523587655000000000e+09 2.692160000000000082e+02
1.523587715000000000e+09 2.689809999999999945e+02
1.523587775000000000e+09 2.685459999999999923e+02
1.523587835000000000e+09 2.683000000000000114e+02
1.523587895000000000e+09 2.678439999999999941e+02
1.523587955000000000e+09 2.676250000000000000e+02
1.523588015000000000e+09 2.673509999999999991e+02
1.523588075000000000e+09 2.669180000000000064e+02
1.523588135000000000e+09 2.666840000000000259e+02
1.523588195000000000e+09 2.661789999999999736e+02
