Temperature	Resistance
[K]			[Ohms]
 
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.54678300e+03
1.09556000e-01 4.72259319e+03
1.09556000e-01 4.46717657e+03
1.09556000e-01 3.92729800e+03
1.19133000e-01 3.32151281e+03
1.19133000e-01 2.73406567e+03
1.23999000e-01 2.32339705e+03
1.31632000e-01 2.29677795e+03
1.31858000e-01 2.10360733e+03
1.39445000e-01 1.88688205e+03
1.40841000e-01 1.70630490e+03
1.50845000e-01 1.54203048e+03
1.56025000e-01 1.39137552e+03
1.56025000e-01 1.26133667e+03
1.64873000e-01 1.18355913e+03
1.70880000e-01 1.10234207e+03
1.75133000e-01 1.00898560e+03
1.80062000e-01 9.47402829e+02
1.85012000e-01 8.92937081e+02
1.89620000e-01 8.40921376e+02
1.95671000e-01 7.79286290e+02
2.00437000e-01 6.96657957e+02
2.19828000e-01 5.98262776e+02
2.40569000e-01 4.96219586e+02
2.59244000e-01 4.05740005e+02
2.80130000e-01 3.49240476e+02
3.00573000e-01 3.06847043e+02
3.19841000e-01 2.71451005e+02
