# GR31310 calibration file, created 2018-04-03 13:28:04.434405
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.77771900e+02
1.09556000e-01 3.79880633e+02
1.09556000e-01 3.77330381e+02
1.09556000e-01 3.70194767e+02
1.19133000e-01 3.61669414e+02
1.19133000e-01 3.52362214e+02
1.23999000e-01 3.43373805e+02
1.31632000e-01 3.38666652e+02
1.31858000e-01 3.33750543e+02
1.39445000e-01 3.31255290e+02
1.40841000e-01 3.27073705e+02
1.50845000e-01 3.18819600e+02
1.56025000e-01 3.08240195e+02
