# X109928 calibration file, created 2018-04-03 13:28:04.774897
# Temperature	Resistance
# 		[K]				[Ohms]
# 
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.68779800e+03
1.09556000e-01 9.89456057e+03
1.09556000e-01 9.58940957e+03
1.09556000e-01 9.00385257e+03
1.19133000e-01 8.20187500e+03
1.19133000e-01 7.51669943e+03
1.23999000e-01 6.94373448e+03
1.31632000e-01 6.78416267e+03
1.31858000e-01 6.39933248e+03
1.39445000e-01 5.98451595e+03
1.40841000e-01 5.46551486e+03
1.50845000e-01 5.13650824e+03
1.56025000e-01 4.79684567e+03
1.56025000e-01 4.52353976e+03
1.64873000e-01 4.35049181e+03
1.70880000e-01 4.16630110e+03
1.75133000e-01 3.94529757e+03
1.80062000e-01 3.78395962e+03
1.85012000e-01 3.62925248e+03
1.89620000e-01 3.48049129e+03
1.95671000e-01 3.30617338e+03
2.00437000e-01 3.05951048e+03
2.19828000e-01 2.75701267e+03
2.40569000e-01 2.43371790e+03
2.59244000e-01 2.13348786e+03
2.80130000e-01 1.93178395e+03
3.00573000e-01 1.77152014e+03
3.19841000e-01 1.63177205e+03
3.39932000e-01 1.51909538e+03
3.59988000e-01 1.41941005e+03
3.79679000e-01 1.33015100e+03
4.04364000e-01 1.25609338e+03
4.22256000e-01 1.19078671e+03
4.41998000e-01 1.13462976e+03
4.61525000e-01 1.08787235e+03
4.81929000e-01 1.03958343e+03
5.03785000e-01 9.89292219e+02
5.34062000e-01 9.39462262e+02
5.67035000e-01 8.92502714e+02
5.95381000e-01 8.49073190e+02
6.27083000e-01 8.10526833e+02
6.58282000e-01 7.74180752e+02
6.95274000e-01 7.40230924e+02
7.33180000e-01 7.10789376e+02
7.64325000e-01 6.82900076e+02
7.98295000e-01 6.57952195e+02
8.41829000e-01 6.31748752e+02
8.82778000e-01 6.07813833e+02
9.26806000e-01 5.86884648e+02
9.60863000e-01 5.69957733e+02
9.94273000e-01 5.53342057e+02
1.03497000e+00 5.41109167e+02
1.09509000e+00 5.20328876e+02
1.14359000e+00 5.02021043e+02
1.18303000e+00 4.84131343e+02
1.18303000e+00 4.66470862e+02
1.33202000e+00 4.43801781e+02
1.43101000e+00 4.27214281e+02
1.58738000e+00 4.03209400e+02
1.58738000e+00 3.85442005e+02
1.78642000e+00 3.76292848e+02
1.95407000e+00 3.45654395e+02
2.07736000e+00 3.01503081e+02
2.14068000e+00 2.62532733e+02
2.14068000e+00 2.31060381e+02
2.14068000e+00 2.19375052e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.28856700e+02
2.14068000e+00 2.33532186e+02
2.14068000e+00 2.26518957e+02
2.14068000e+00 2.12492500e+02
7.14412000e+00 1.96128300e+02
